✓ 收到  workloadf  [process_num_50] 2025-04-22_18-56-31---workloadf  741,159.04 ops/s  AvgPwr: 1049.79 W, StartPwr: 840 W, Δ: 209.79 W
✓ 收到  workloada  [process_num_50] 2025-04-19_13-02-40---workloada  757,440.37 ops/s  AvgPwr: 1009.33 W, StartPwr: 780 W, Δ: 229.33 W
✓ 收到  workloada  [process_num_50] 2025-04-19_09-46-36---workloada  752,824.06 ops/s  AvgPwr: 1015.29 W, StartPwr: 780 W, Δ: 235.29 W
✓ 收到  workloada  [process_num_50] 2025-04-19_03-14-43---workloada  748,925.63 ops/s  AvgPwr: 1001.54 W, StartPwr: 804 W, Δ: 197.54 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_13-06-03---workloadf  751,906.25 ops/s  AvgPwr: 1019.11 W, StartPwr: 780 W, Δ: 239.11 W
✓ 收到  workloada  [process_num_50] 2025-04-22_16-01-49---workloada  657,049.54 ops/s  AvgPwr: 972.86 W, StartPwr: 804 W, Δ: 168.86 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_03-18-07---workloadf  754,281.23 ops/s  AvgPwr: 1007.60 W, StartPwr: 780 W, Δ: 227.60 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_09-49-59---workloadf  730,970.64 ops/s  AvgPwr: 1022.80 W, StartPwr: 780 W, Δ: 242.80 W
✓ 收到  workloada  [process_num_50] 2025-04-18_23-58-50---workloada  752,887.05 ops/s  AvgPwr: 1013.54 W, StartPwr: 792 W, Δ: 221.54 W
✓ 收到  workloadf  [process_num_50] 2025-04-19_06-34-01---workloadf  730,808.73 ops/s  AvgPwr: 1007.57 W, StartPwr: 780 W, Δ: 227.57 W
✓ 收到  workloada  [process_num_40] 2025-04-19_12-56-28---workloada  704,413.57 ops/s  AvgPwr: 1002.86 W, StartPwr: 780 W, Δ: 222.86 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_12-59-32---workloadf  681,005.79 ops/s  AvgPwr: 1004.64 W, StartPwr: 780 W, Δ: 224.64 W
✓ 收到  workloada  [process_num_40] 2025-04-19_09-40-22---workloada  715,072.70 ops/s  AvgPwr: 996.00 W, StartPwr: 780 W, Δ: 216.00 W
✓ 收到  workloada  [process_num_40] 2025-04-22_17-27-59---workloada  607,936.48 ops/s  AvgPwr: 958.50 W, StartPwr: 804 W, Δ: 154.50 W
✓ 收到  workloada  [process_num_40] 2025-04-19_03-08-28---workloada  716,184.78 ops/s  AvgPwr: 1010.18 W, StartPwr: 780 W, Δ: 230.18 W
✓ 收到  workloada  [process_num_40] 2025-04-18_23-52-34---workloada  701,697.38 ops/s  AvgPwr: 1003.50 W, StartPwr: 780 W, Δ: 223.50 W
✓ 收到  workloadf  [process_num_40] 2025-04-22_18-50-05---workloadf  682,626.93 ops/s  AvgPwr: 1016.64 W, StartPwr: 828 W, Δ: 188.64 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_09-43-28---workloadf  686,217.58 ops/s  AvgPwr: 1002.50 W, StartPwr: 780 W, Δ: 222.50 W
✓ 收到  workloada  [process_num_40] 2025-04-22_18-46-59---workloada  706,686.96 ops/s  AvgPwr: 1021.64 W, StartPwr: 828 W, Δ: 193.64 W
✓ 收到  workloadf  [process_num_40] 2025-04-18_20-39-40---workloadf  671,427.28 ops/s  AvgPwr: 1010.31 W, StartPwr: 792 W, Δ: 218.31 W
✓ 收到  workloadf  [process_num_40] 2025-04-22_17-31-23---workloadf  589,299.94 ops/s  AvgPwr: 962.48 W, StartPwr: 816 W, Δ: 146.48 W
✓ 收到  workloada  [process_num_40] 2025-04-22_18-07-07---workloada  621,567.50 ops/s  AvgPwr: 963.11 W, StartPwr: 816 W, Δ: 147.11 W
✓ 收到  workloadf  [process_num_40] 2025-04-22_18-10-29---workloadf  598,252.11 ops/s  AvgPwr: 968.50 W, StartPwr: 816 W, Δ: 152.50 W
✓ 收到  workloada  [process_num_40] 2025-04-19_06-24-22---workloada  697,542.56 ops/s  AvgPwr: 999.13 W, StartPwr: 780 W, Δ: 219.13 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_06-27-30---workloadf  688,223.15 ops/s  AvgPwr: 1001.76 W, StartPwr: 792 W, Δ: 209.76 W
✓ 收到  workloada  [process_num_40] 2025-04-18_20-36-33---workloada  709,656.87 ops/s  AvgPwr: 997.04 W, StartPwr: 792 W, Δ: 205.04 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_03-11-36---workloadf  688,589.13 ops/s  AvgPwr: 996.52 W, StartPwr: 780 W, Δ: 216.52 W
✓ 收到  workloadf  [process_num_40] 2025-04-18_23-55-41---workloadf  692,662.59 ops/s  AvgPwr: 991.38 W, StartPwr: 792 W, Δ: 199.38 W
✓ 收到  workloada  [process_num_64] 2025-04-22_14-51-42---workloada  751,084.30 ops/s  AvgPwr: 988.86 W, StartPwr: 804 W, Δ: 184.86 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_19-11-01---workloadf  759,951.60 ops/s  AvgPwr: 1045.67 W, StartPwr: 840 W, Δ: 205.67 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_15-45-42---workloadf  726,650.57 ops/s  AvgPwr: 986.10 W, StartPwr: 804 W, Δ: 182.10 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_19-43-00---workloadf  755,406.61 ops/s  AvgPwr: 1055.67 W, StartPwr: 804 W, Δ: 251.67 W
✓ 收到  workloada  [process_num_64] 2025-04-22_17-40-14---workloada  778,180.23 ops/s  AvgPwr: 993.93 W, StartPwr: 816 W, Δ: 177.93 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_17-08-35---workloadf  746,304.49 ops/s  AvgPwr: 1007.37 W, StartPwr: 804 W, Δ: 203.37 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_20-07-16---workloadf  759,799.71 ops/s  AvgPwr: 1040.00 W, StartPwr: 804 W, Δ: 236.00 W
✓ 收到  workloada  [process_num_64] 2025-04-22_17-48-21---workloada  770,187.76 ops/s  AvgPwr: 1001.67 W, StartPwr: 816 W, Δ: 185.67 W
✓ 收到  workloada  [process_num_64] 2025-04-22_16-29-31---workloada  750,711.86 ops/s  AvgPwr: 982.42 W, StartPwr: 804 W, Δ: 178.42 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_20-14-53---workloadf  760,573.45 ops/s  AvgPwr: 1045.03 W, StartPwr: 816 W, Δ: 229.03 W
✓ 收到  workloada  [process_num_64] 2025-04-22_15-41-26---workloada  753,689.93 ops/s  AvgPwr: 1003.33 W, StartPwr: 804 W, Δ: 199.33 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_17-44-16---workloadf  769,454.98 ops/s  AvgPwr: 995.37 W, StartPwr: 816 W, Δ: 179.37 W
✓ 收到  workloada  [process_num_64] 2025-04-22_19-07-12---workloada  798,860.88 ops/s  AvgPwr: 1036.67 W, StartPwr: 840 W, Δ: 196.67 W
✓ 收到  workloada  [process_num_64] 2025-04-22_19-46-48---workloada  774,510.07 ops/s  AvgPwr: 1042.63 W, StartPwr: 804 W, Δ: 238.63 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_17-52-23---workloadf  766,801.00 ops/s  AvgPwr: 1001.82 W, StartPwr: 816 W, Δ: 185.82 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_16-42-30---workloadf  727,384.23 ops/s  AvgPwr: 994.38 W, StartPwr: 816 W, Δ: 178.38 W
✓ 收到  workloada  [process_num_64] 2025-04-22_20-11-06---workloada  767,313.97 ops/s  AvgPwr: 1038.75 W, StartPwr: 816 W, Δ: 222.75 W
✓ 收到  workloada  [process_num_64] 2025-04-22_16-38-15---workloada  744,303.83 ops/s  AvgPwr: 984.80 W, StartPwr: 816 W, Δ: 168.80 W
✓ 收到  workloada  [process_num_64] 2025-04-22_17-04-31---workloada  766,404.52 ops/s  AvgPwr: 989.33 W, StartPwr: 792 W, Δ: 197.33 W
✓ 收到  workloada  [process_num_64] 2025-04-22_19-39-11---workloada  757,689.78 ops/s  AvgPwr: 1049.67 W, StartPwr: 804 W, Δ: 245.67 W
✓ 收到  workloada  [process_num_64] 2025-04-22_20-03-28---workloada  763,853.99 ops/s  AvgPwr: 1050.55 W, StartPwr: 804 W, Δ: 246.55 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_16-34-02---workloadf  726,535.95 ops/s  AvgPwr: 994.50 W, StartPwr: 816 W, Δ: 178.50 W
✓ 收到  workloada  [process_num_64] 2025-04-22_15-00-14---workloada  750,831.58 ops/s  AvgPwr: 990.00 W, StartPwr: 804 W, Δ: 186.00 W
✓ 收到  workloada  [process_num_64] 2025-04-22_14-43-05---workloada  740,872.79 ops/s  AvgPwr: 982.18 W, StartPwr: 804 W, Δ: 178.18 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_14-47-26---workloadf  728,040.75 ops/s  AvgPwr: 995.27 W, StartPwr: 804 W, Δ: 191.27 W
⚠️ Empty  workloada  [process_num_64] 2025-04-22_16-24-58---workloada
✓ 收到  workloadf  [process_num_64] 2025-04-22_14-55-58---workloadf  727,467.49 ops/s  AvgPwr: 996.00 W, StartPwr: 804 W, Δ: 192.00 W
✓ 收到  workloadf  [process_num_64] 2025-04-22_19-50-37---workloadf  752,897.96 ops/s  AvgPwr: 1062.17 W, StartPwr: 816 W, Δ: 246.17 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_03-33-03---workloadf  813,816.88 ops/s  AvgPwr: 1013.67 W, StartPwr: 780 W, Δ: 233.67 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_13-20-59---workloadf  822,996.88 ops/s  AvgPwr: 1026.80 W, StartPwr: 780 W, Δ: 246.80 W
✓ 收到  workloada  [process_num_70] 2025-04-19_03-29-02---workloada  838,389.37 ops/s  AvgPwr: 1021.00 W, StartPwr: 780 W, Δ: 241.00 W
