✓ 收到  workloadf  [process_num_50] 2025-04-19_02-13-37---workloadf  523,651.37 ops/s  AvgPwr: 999.47 W, StartPwr: 792 W, Δ: 207.47 W
✓ 收到  workloada  [process_num_40] 2025-04-19_08-34-13---workloada  412,541.16 ops/s  AvgPwr: 976.57 W, StartPwr: 780 W, Δ: 196.57 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_05-21-53---workloadf  399,089.69 ops/s  AvgPwr: 976.00 W, StartPwr: 780 W, Δ: 196.00 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_08-37-55---workloadf  400,457.19 ops/s  AvgPwr: 980.65 W, StartPwr: 792 W, Δ: 188.65 W
✓ 收到  workloada  [process_num_40] 2025-04-19_05-18-10---workloada  410,548.67 ops/s  AvgPwr: 978.44 W, StartPwr: 780 W, Δ: 198.44 W
✓ 收到  workloada  [process_num_40] 2025-04-18_19-30-23---workloada  410,616.56 ops/s  AvgPwr: 971.41 W, StartPwr: 792 W, Δ: 179.41 W
✓ 收到  workloada  [process_num_40] 2025-04-18_22-46-39---workloada  415,140.52 ops/s  AvgPwr: 987.30 W, StartPwr: 792 W, Δ: 195.30 W
✓ 收到  workloada  [process_num_40] 2025-04-19_02-02-15---workloada  410,812.00 ops/s  AvgPwr: 982.54 W, StartPwr: 780 W, Δ: 202.54 W
✓ 收到  workloada  [process_num_40] 2025-04-19_11-50-15---workloada  411,071.49 ops/s  AvgPwr: 974.34 W, StartPwr: 780 W, Δ: 194.34 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_02-05-57---workloadf  402,713.55 ops/s  AvgPwr: 985.14 W, StartPwr: 780 W, Δ: 205.14 W
✓ 收到  workloadf  [process_num_40] 2025-04-18_19-34-05---workloadf  401,370.61 ops/s  AvgPwr: 980.20 W, StartPwr: 780 W, Δ: 200.20 W
✓ 收到  workloadf  [process_num_40] 2025-04-19_11-53-58---workloadf  404,399.30 ops/s  AvgPwr: 972.00 W, StartPwr: 780 W, Δ: 192.00 W
✓ 收到  workloadf  [process_num_40] 2025-04-18_22-50-21---workloadf  402,335.64 ops/s  AvgPwr: 986.05 W, StartPwr: 792 W, Δ: 194.05 W
✓ 收到  workloadf  [process_num_70] 2025-04-19_09-01-38---workloadf  707,627.86 ops/s  AvgPwr: 1015.32 W, StartPwr: 780 W, Δ: 235.32 W
✓ 收到  workloada  [process_num_70] 2025-04-19_08-57-33---workloada  725,439.23 ops/s  AvgPwr: 1023.80 W, StartPwr: 792 W, Δ: 231.80 W
✓ 收到  workloadf  [process_num_70] 2025-04-18_19-57-56---workloadf  705,692.80 ops/s  AvgPwr: 1010.63 W, StartPwr: 780 W, Δ: 230.63 W
